Place Name|Location|Category
Mahabodhi Temple|Bodh Gaya|Religious
Nalanda University|Nalanda|Historical
Vishwa Shanti Stupa|Rajgir|Religious
Patna Sahib Gurudwara|Patna|Religious
Barabar Caves|Gaya|Historical
Kanwar Lake Bird Sanctuary|Begusarai|Nature
Sher Shah Suri Tomb|Sasaram|Historical
Navlakha Palace|Rajnagar|Historical
Valmiki National Park|Bettiah|Nature
Madhubani Art Village|Madhubani|Cultural
Takht Sri Patna Sahib|Patna|Religious
Golghar|Patna|Historical
Bihar Museum|Patna|Museum
Sanjay Gandhi Biological Park|Patna|Nature
Jal Mandir|Pawapuri|Religious
Ashoka Pillar|Vaishali|Historical
Kesaria Stupa|Kesaria|Historical
Vikramshila University|Bhagalpur|Historical
Kakolat Waterfall|Nawada|Nature
Rajgir Hot Springs|Rajgir|Nature
Buxar Fort|Buxar|Historical
Chandradhari Museum|Darbhanga|Museum
Bhagalpur Silk City|Bhagalpur|Cultural
Sitamarhi Temple|Sitamarhi|Religious
Maner Sharif|Maner|Religious
Bodh Gaya Archaeological Museum|Bodh Gaya|Museum
Janki Temple|Sitamarhi|Religious
Sita Kund|Munger|Religious
Ramchaura Mandir|Hajipur|Religious
Thawe Temple|Gopalganj|Religious
Kaimur Wildlife Sanctuary|Kaimur|Nature
Ajgaibinath Temple|Sultanganj|Religious
Dargah Sharif|Phulwari Sharif|Religious
Shri Krishna Science Centre|Patna|Museum
Bihar School of Yoga|Munger|Cultural
Gurdwara Handi Sahib|Danapur|Religious
Gurdwara Guru Ka Bagh|Patna|Religious
Munger Fort|Munger|Historical
Chhoti Dargah|Maner|Historical
Karbala Maidan|Patna|Historical
Bihar State Tourism Development Corporation|Patna|Cultural
Bhagwan Mahavir Wildlife Sanctuary|Gaya|Nature
Gurdwara Bal Leela|Patna|Religious
Gurdwara Pahila Bara|Patna|Religious
Gurdwara Gobind Ghat|Patna|Religious
Gurdwara Taksal Sangat|Patna|Religious
Gurdwara Guru Nanak Dev Ji|Patna|Religious
Gurdwara Sri Guru Singh Sabha|Patna|Religious
Gurdwara Sri Guru Tegh Bahadur Sahib|Patna|Religious
Gurdwara Sri Guru Hargobind Sahib|Patna|Religious
